article_id,flood_id,language,country,sentence,sentence_num,adjective,adposition,adverb,auxiliary,coordinating conjunction,determiner,interjection,noun,numeral,particle,pronoun,proper noun,punctuation,subordinating conjunction,symbol,verb,other,verbs_imperative,verbs_subjunctive,auxiliary_modals,imperative_count,short_term_count,long_term_count,spatial_count,subjunctive_count,has_agent,has_action,has_location,srl_complete,advice,actionability_probability,actionability_score
1,252,es,Uruguay,El fenómeno atmosférico provocará vientos muy fuertes con rachas intensas con potencial destructivo en algunos puntos.,0,"['atmosférico', 'fuertes', 'intensas', 'destructivo']","['con', 'con', 'en']",['muy'],[],[],"['El', 'algunos']",[],"['fenómeno', 'vientos', 'rachas', 'potencial', 'puntos']",[],[],[],[],['.'],[],[],['provocará'],[],[],[],[],0,0,0,0,0.0,1,1,1,1,0,0.0392,0
1,252,es,Uruguay,Uruguay está entre las zonas más afectadas por estos vientos que pueden alcanzar los 139 kilómetros por hora.,1,['afectadas'],"['entre', 'por', 'por']",['más'],"['está', 'pueden']",[],"['las', 'estos', 'los']",[],"['zonas', 'vientos', 'kilómetros', 'hora']",['139'],[],['que'],['Uruguay'],['.'],[],[],['alcanzar'],[],[],[],[],0,0,0,1,0.0,1,1,0,0,0,0.0392,0
1,252,es,Uruguay,El potencial de daños es altísimo.,2,['altísimo'],['de'],[],['es'],[],['El'],[],"['potencial', 'daños']",[],[],[],[],['.'],[],[],[],[],[],[],[],0,0,0,0,0.0,1,1,0,0,0,0.0,0
1,252,es,Uruguay,"En el Río de Plata, la sudestada ya provocó inundaciones en las zonas bajas de Buenos Aires.",3,"['sudestada', 'bajas']","['En', 'de', 'en', 'de']",['ya'],[],[],"['el', 'la', 'las']",[],"['inundaciones', 'zonas']",[],[],[],"['Río', 'Plata', 'Buenos', 'Aires']","[',', '.']",[],[],['provocó'],[],[],[],[],0,0,0,1,0.0,1,1,1,1,0,0.0784,0
1,252,es,Uruguay,"Metsul afirma que este jueves el sur y el este de Uruguay deben ser las áreas más castigadas con viento muy intenso y rachas destructivas en algunos puntos, sobre todo en los departamentos de Montevideo, Canelones, Maldonado y Rocha.",4,"['castigadas', 'intenso', 'destructivas']","['de', 'con', 'en', 'sobre', 'en', 'de']","['más', 'muy']","['deben', 'ser']","['y', 'y', 'y']","['este', 'el', 'el', 'las', 'algunos', 'los']",[],"['jueves', 'sur', 'este', 'áreas', 'viento', 'puntos', 'departamentos']",[],[],"['rachas', 'todo']","['Metsul', 'Uruguay', 'Montevideo', 'Canelones', 'Maldonado', 'Rocha']","[',', ',', ',', '.']",['que'],[],['afirma'],[],[],[],['deber'],0,0,0,1,0.0,1,1,1,1,0,0.1373,0
1,252,es,Uruguay,"En estas áreas, el viento aumenta mucho durante este miércoles y aún será intenso en parte del jueves, cuando el ciclón ya se estará alejando rápidamente.",5,['intenso'],"['En', 'durante', 'en']","['mucho', 'aún', 'ya', 'rápidamente']","['será', 'estará']",['y'],"['estas', 'el', 'este', 'del', 'el']",[],"['áreas', 'viento', 'miércoles', 'parte', 'jueves', 'ciclón']",[],[],"['cuando', 'se']",[],"[',', ',', '.']",[],[],"['aumenta', 'alejando']",[],[],[],[],0,0,0,1,0.0,1,1,1,1,0,0.0784,0
1,252,es,Uruguay,Para Metsul los vientos de entre 80 y 100 kilómetros por hora pueden ocurrir en forma generalizada en el sur y este del país.,6,['generalizada'],"['Para', 'de', 'entre', 'por', 'en', 'en', 'del']",[],['pueden'],"['y', 'y']","['los', 'el']",[],"['vientos', 'kilómetros', 'hora', 'forma', 'sur', 'este', 'país']","['80', '100']",[],[],['Metsul'],['.'],[],[],['ocurrir'],[],[],[],[],0,0,0,0,0.0,1,1,1,1,0,0.0392,0
1,252,es,Uruguay,Incluso algunos puntos pueden experimentar rachas superiores que no se descarta puedan ser de entre 120 y 140 kilómetros por hora en la costa uruguaya.,7,['superiores'],"['de', 'entre', 'por', 'en']","['Incluso', 'no']","['pueden', 'puedan', 'ser']",['y'],"['algunos', 'la']",[],"['puntos', 'rachas', 'kilómetros', 'hora', 'costa']","['120', '140']",[],"['que', 'se']",['uruguaya'],['.'],[],[],"['experimentar', 'descarta']",[],[],[],[],0,0,0,0,0.0,1,1,0,0,0,0.0,0
1,252,es,Uruguay,"El servicio advierte que puede caer un gran número de árboles, como ya sucede en Montevideo, y el mar tendrá olas muy altas.",8,"['gran', 'altas']","['de', 'en']","['ya', 'muy']",['puede'],['y'],"['El', 'un', 'el']",[],"['servicio', 'número', 'árboles', 'mar', 'olas']",[],[],[],['Montevideo'],"[',', ',', '.']","['que', 'como']",[],"['advierte', 'caer', 'sucede', 'tendrá']",[],[],[],[],0,0,0,0,0.0,1,1,1,1,0,0.0392,0
1,252,es,Uruguay,"La Dirección Nacional de Meteorología tiene en vigencia una advertencia de nivel naranja desde el martes, a raíz de los fuertes vientos que afectan el sur uruguayo.",9,"['fuertes', 'uruguayo']","['de', 'en', 'de', 'desde', 'a', 'de']",[],[],[],"['La', 'una', 'el', 'los', 'el']",[],"['vigencia', 'advertencia', 'nivel', 'martes', 'raíz', 'vientos', 'sur']",[],[],['que'],"['Dirección', 'Nacional', 'Meteorología']","[',', '.']",[],[],"['tiene', 'naranja', 'afectan']",[],[],['naranja'],[],0,0,0,0,0.0,1,1,1,1,0,0.098,0
1,252,es,Uruguay,Según esta previsión las rachas pueden ser de hasta 120 kilómetros por hora.,10,[],"['Según', 'de', 'hasta', 'por']",[],"['pueden', 'ser']",[],"['esta', 'las']",[],"['previsión', 'rachas', 'kilómetros', 'hora']",['120'],[],[],[],['.'],[],[],[],[],[],[],[],0,0,0,0,0.0,1,1,1,1,0,0.0392,0
